channel,direction,start_time,packet_len,packet_content,start_byte,valid_start
mainboardGrey,toACmainboard,0.000165,1,FD,0xFD,False
mainboardGrey,toACmainboard,0.02221175,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
Channel 6,toACbusadapter_HAHB,0.03340875,16,AA C4 05 00 00 00 A5 5A 00 00 00 00 00 3B FD 55,0xAA,True
Channel 7,fromACbusadapter_HAHB,0.05328625,32,AA C4 00 00 05 00 05 00 02 30 0E 00 00 00 00 00 84 80 59 BC D6 2F 66 00 00 00 00 00 00 00 6E 55,0xAA,True
mainboardBlue,fromACmainboard,0.07671975,64,AA 31 40 00 53 59 1B 61 39 00 00 00 02 49 07 00 B7 88 34 B1 1E 00 11 16 FF 02 01 01 02 00 00 00 00 00 FE 04 01 06 00 03 01 64 00 64 00 00 64 00 F0 18 14 00 00 00 00 00 00 00 00 00 00 00 E6 33,0xAA,True
mainboardGrey,toACmainboard,0.18231225,36,AA 20 24 03 50 66 00 00 00 40 00 00 00 00 00 00 C0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EB 1A,0xAA,True
mainboardBlue,fromACmainboard,0.239946,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
mainboardGrey,toACmainboard,0.30210025,10,AA 30 0A 00 FF 03 00 00 42 82,0xAA,True
Channel 6,toACbusadapter_HAHB,0.33346675,16,AA C0 05 00 00 00 00 00 00 00 00 00 00 3F FC 55,0xAA,True
mainboardBlue,fromACmainboard,0.333523,64,AA 30 40 74 09 B8 0B 5E 01 7C 01 28 18 18 00 01 B0 03 61 61 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 39 72 B6 B3 00 01 11 B9 00 0A E6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C4 69,0xAA,True
Channel 7,fromACbusadapter_HAHB,0.353579,32,AA C0 00 00 05 00 10 30 84 80 59 58 65 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 94 55,0xAA,True
mainboardGrey,toACmainboard,0.43246,36,AA 20 24 03 50 66 00 00 00 40 00 00 00 00 00 00 C0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EB 1A,0xAA,True
mainboardBlue,fromACmainboard,0.490689,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
bidirectionalExtensionBoard,toACdisplay,0.529327,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 01 43 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 74 D8 F6 00 7E,0xAA,True
mainboardGrey,toACmainboard,0.5521885,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,0.60700425,64,AA 31 40 00 53 59 1B 61 39 00 00 00 02 49 07 00 B7 88 34 B1 1E 00 11 16 FF 02 01 01 02 00 00 00 00 00 FE 04 01 06 00 03 01 64 00 64 00 00 64 00 F0 18 14 00 00 00 00 00 00 00 00 00 00 00 E6 33,0xAA,True
Channel 6,toACbusadapter_HAHB,0.63377475,16,AA C4 05 00 00 00 A5 5A 00 00 00 00 00 3B FD 55,0xAA,True
Channel 7,fromACbusadapter_HAHB,0.65397225,32,AA C4 00 00 05 00 05 00 02 30 0E 00 00 00 00 00 84 80 59 BC D6 2F 66 00 00 00 00 00 00 00 6E 55,0xAA,True
mainboardGrey,toACmainboard,0.712668,36,AA 20 24 03 50 66 00 00 00 40 00 00 00 00 00 00 C0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EB 1A,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,0.72762275,38,55 BC 22 AC 00 00 00 00 00 03 03 C1 21 01 03 00 00 00 00 00 08 61 39 72 B6 B3 00 18 00 00 00 00 00 00 00 B1 00 EF,0x55,True
mainboardBlue,fromACmainboard,0.77162075,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
mainboardGrey,toACmainboard,0.84210875,10,AA 30 0A 00 FF 03 00 00 42 82,0xAA,True
mainboardBlue,fromACmainboard,0.87309925,64,AA 30 40 74 09 B8 0B 5E 01 7C 01 28 18 18 00 01 B0 03 61 61 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 39 72 B6 B3 00 01 11 B9 00 0A E6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C4 69,0xAA,True
Channel 6,toACbusadapter_HAHB,0.93387475,32,AA D0 20 01 00 84 80 59 00 00 00 00 00 00 00 04 18 00 60 11 00 00 00 00 00 00 00 00 00 73 B2 55,0xAA,True
mainboardGrey,toACmainboard,0.9724685,36,AA 20 24 03 50 66 00 00 00 40 00 00 00 00 00 00 C0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EB 1A,0xAA,True
mainboardBlue,fromACmainboard,1.0308745,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
mainboardGrey,toACmainboard,1.09196975,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,1.14598425,64,AA 31 40 00 53 59 1B 61 39 00 00 00 02 49 07 00 B7 88 34 B1 1E 00 11 16 FF 02 01 01 02 00 00 00 00 00 FE 04 01 06 00 03 01 64 00 64 00 00 64 00 F0 18 14 00 00 00 00 00 00 00 00 00 00 00 E6 33,0xAA,True
Channel 6,toACbusadapter_HAHB,1.233693,16,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02 55,0xAA,True
mainboardGrey,toACmainboard,1.2524435,36,AA 20 24 03 50 66 00 00 00 40 00 00 00 00 00 00 C0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EB 1A,0xAA,True
mainboardBlue,fromACmainboard,1.3102705,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
mainboardGrey,toACmainboard,1.37182625,10,AA 30 0A 00 FF 03 00 00 42 82,0xAA,True
mainboardBlue,fromACmainboard,1.402847,64,AA 30 40 74 09 B8 0B 5E 01 7C 01 28 18 18 00 01 B0 03 61 61 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 39 72 B6 B3 00 01 11 B9 00 0A E6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C4 69,0xAA,True
mainboardGrey,toACmainboard,1.50228625,36,AA 20 24 03 50 66 00 00 00 40 00 00 00 00 00 00 C0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EB 1A,0xAA,True
Channel 6,toACbusadapter_HAHB,1.534022,32,AA D0 20 01 00 84 80 59 00 00 00 00 00 00 00 04 18 00 60 11 00 00 00 00 00 00 00 00 00 73 B2 55,0xAA,True
mainboardBlue,fromACmainboard,1.56079275,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
mainboardGrey,toACmainboard,1.6220565,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
