Time [s],MideaIR
0.000000000,1
2.244395250,0
2.248790250,1
2.253177500,0
2.253715000,1
2.255325500,0
2.255888750,1
2.256402000,0
2.256939750,1
2.258550250,0
2.259089750,1
2.260703500,0
2.261239750,1
2.262851250,0
2.263389750,1
2.263927250,0
2.264464750,1
2.265002500,0
2.265540000,1
2.267151250,0
2.267712750,1
2.268226000,0
2.268765000,1
2.270374750,0
2.270914250,1
2.271449750,0
2.271989500,1
2.272525500,0
2.273088750,1
2.273600500,0
2.274139250,1
2.275751000,0
2.276313250,1
2.277901000,0
2.278464000,1
2.278976500,0
2.279538250,1
2.281125500,0
2.281688250,1
2.283274500,0
2.283838500,1
2.285429000,0
2.285988500,1
2.287575250,0
2.288138250,1
2.288648750,0
2.289213500,1
2.290800250,0
2.291363500,1
2.292950250,0
2.293513250,1
2.295100750,0
2.295663250,1
2.296175250,0
2.296737750,1
2.297249250,0
2.297813000,1
2.298324750,0
2.298887750,1
2.299399750,0
2.299962750,1
2.301549250,0
2.302112750,1
2.302624500,0
2.303187750,1
2.303699750,0
2.304262250,1
2.304774250,0
2.305337250,1
2.305848750,0
2.306411750,1
2.306924000,0
2.307486250,1
2.307999000,0
2.308560750,1
2.309074000,0
2.309635000,1
2.310148750,0
2.310686250,1
2.311223750,0
2.311761500,1
2.312299000,0
2.312836000,1
2.314449250,0
2.315009750,1
2.316598500,0
2.317159250,1
2.318748250,0
2.319309000,1
2.320898500,0
2.321459000,1
2.323048250,0
2.323608750,1
2.325198750,0
2.325758000,1
2.327348250,0
2.327907750,1
2.329498000,0
2.330057250,1
2.330573000,0
2.331131250,1
2.336315250,0
2.340707500,1
2.345100000,0
2.345632000,1
2.347250500,0
2.347781750,1
2.348345750,0
2.348856250,1
2.350495750,0
2.351006250,1
2.352645250,0
2.353156000,1
2.354795250,0
2.355305750,1
2.355870000,0
2.356380250,1
2.356945000,0
2.357455000,1
2.359095000,0
2.359604750,1
2.360170000,0
2.360679500,1
2.362320000,0
2.362829250,1
2.363394750,0
2.363903750,1
2.364469500,0
2.364978500,1
2.365544750,0
2.366053250,1
2.367694500,0
2.368203000,1
2.369844500,0
2.370352750,1
2.370919500,0
2.371427500,1
2.373069750,0
2.373577250,1
2.375219750,0
2.375726750,1
2.377369250,0
2.377876500,1
2.379519500,0
2.380026250,1
2.380594500,0
2.381101000,1
2.382744250,0
2.383250750,1
2.384894500,0
2.385400750,1
2.387044500,0
2.387550250,1
2.388119250,0
2.388625000,1
2.389194000,0
2.389699750,1
2.390269000,0
2.390774750,1
2.391344000,0
2.391849500,1
2.393494000,0
2.393999250,1
2.394568750,0
2.395074250,1
2.395643750,0
2.396149500,1
2.396718750,0
2.397224500,1
2.397794000,0
2.398299500,1
2.398869000,0
2.399374250,1
2.399943500,0
2.400449000,1
2.401018500,0
2.401523750,1
2.402093500,0
2.402598750,1
2.403168250,0
2.403673750,1
2.404243500,0
2.404748750,1
2.406393500,0
2.406898750,1
2.408543500,0
2.409048500,1
2.410693500,0
2.411198250,1
2.412843000,0
2.413348250,1
2.414993000,0
2.415498000,1
2.417142750,0
2.417647750,1
2.419293000,0
2.419797750,1
2.421443000,0
2.421948000,1
2.422518000,0
2.423023000,1
14.770889000,0
14.775309750,1
14.779670250,0
14.780234000,1
14.781820750,0
14.782359500,1
14.782897000,0
14.783459000,1
14.785045000,0
14.785608500,1
14.787194000,0
14.787758750,1
14.789344500,0
14.789909250,1
14.790421000,0
14.790983250,1
14.791494500,0
14.792058500,1
14.793645250,0
14.794183250,1
14.794720250,0
14.795259000,1
14.796869000,0
14.797433000,1
14.797944500,0
14.798508250,1
14.799020250,0
14.799583250,1
14.800095000,0
14.800656750,1
14.802243500,0
14.802783000,1
14.804395750,0
14.804958250,1
14.805470500,0
14.806032250,1
14.807619750,0
14.808157750,1
14.809769250,0
14.810331250,1
14.811919750,0
14.812482250,1
14.814068750,0
14.814631500,1
14.815145000,0
14.815706000,1
14.817294000,0
14.817856500,1
14.819444250,0
14.820006250,1
14.821594000,0
14.822131250,1
14.822668500,0
14.823231000,1
14.823744000,0
14.824305500,1
14.824818250,0
14.825380250,1
14.825893000,0
14.826454500,1
14.828043750,0
14.828604250,1
14.829119000,0
14.829679500,1
14.830193250,0
14.830753500,1
14.831268500,0
14.831828250,1
14.832343250,0
14.832879000,1
14.833419000,0
14.833953750,1
14.834493000,0
14.835028750,1
14.835568250,0
14.836103500,1
14.836643250,0
