channel,direction,start_time,packet_len,packet_content,start_byte,valid_start
mainboardBlue,fromACmainboard,0.01506175,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
mainboardGrey,toACmainboard,0.0860615,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,0.13963575,64,AA 31 40 00 4C 58 1B 61 16 00 00 00 1D 49 07 00 B7 88 34 B1 1E 00 11 16 FF 03 02 00 03 00 00 00 00 00 FE 04 02 06 00 86 01 64 00 64 00 60 64 00 F0 1B 14 00 00 00 00 00 00 00 00 00 00 00 B6 8A,0xAA,True
Channel 6,toACbusadapter_HAHB,0.212209,16,AA C0 05 00 00 00 00 00 00 00 00 00 00 3F FC 55,0xAA,True
Channel 7,fromACbusadapter_HAHB,0.23218025,32,AA C0 00 00 05 00 10 30 84 80 57 58 69 00 29 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 98 55,0xAA,True
mainboardGrey,toACmainboard,0.2464885,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BA DF,0xAA,True
mainboardBlue,fromACmainboard,0.30492925,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
mainboardGrey,toACmainboard,0.37577725,10,AA 30 0A 01 FF 03 00 4E D6 9F,0xAA,True
mainboardBlue,fromACmainboard,0.40584625,64,AA 30 40 60 09 B2 0C 32 00 72 01 2A 1B 1B 00 02 A2 03 61 61 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 16 72 A4 B3 00 01 11 B0 00 0F E6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 06 B5,0xAA,True
mainboardGrey,toACmainboard,0.5061835,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BA DF,0xAA,True
Channel 6,toACbusadapter_HAHB,0.5124025,32,AA D0 20 01 00 84 80 57 00 00 00 00 00 00 00 06 18 00 60 01 00 00 00 00 00 00 00 00 00 E2 53 55,0xAA,True
bidirectionalExtensionBoard,toACdisplay,0.54032125,38,AA BC 22 AC 00 00 00 00 00 03 03 93 00 80 84 05 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7B D9 59 00 7D,0xAA,True
mainboardBlue,fromACmainboard,0.56490575,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
mainboardGrey,toACmainboard,0.63617075,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,0.6909585,64,AA 31 40 00 4C 58 1B 61 16 00 00 00 1D 49 07 00 B7 88 34 B1 1E 00 11 16 FF 03 02 00 03 00 00 00 00 00 FE 04 02 06 00 86 01 64 00 64 00 60 64 00 F0 1B 14 00 00 00 00 00 00 00 00 00 00 00 B6 8A,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,0.73761775,44,55 BC 28 AC 00 00 00 00 00 03 03 93 00 00 84 00 00 00 00 00 10 30 05 00 02 30 0E 00 BC D6 68 00 00 00 00 80 80 80 80 00 00 90 00 EF,0x55,True
mainboardGrey,toACmainboard,0.7964415,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BA DF,0xAA,True
Channel 6,toACbusadapter_HAHB,0.81242925,16,AA C0 04 00 00 00 00 00 00 00 00 00 00 3F FD 55,0xAA,True
mainboardBlue,fromACmainboard,0.85467625,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
mainboardGrey,toACmainboard,0.91590375,10,AA 30 0A 01 FF 03 00 4E D6 9F,0xAA,True
mainboardBlue,fromACmainboard,0.947415,64,AA 30 40 60 09 B2 0C 32 00 72 01 2A 1B 1B 00 02 A2 03 61 61 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 16 72 A4 B3 00 01 11 B0 00 0F E6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 06 B5,0xAA,True
mainboardGrey,toACmainboard,1.04635375,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BA DF,0xAA,True
mainboardBlue,fromACmainboard,1.10514725,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
Channel 6,toACbusadapter_HAHB,1.11267475,32,AA D0 20 01 00 84 80 57 00 00 00 00 00 00 00 06 18 00 60 01 00 00 00 00 00 00 00 00 00 E2 53 55,0xAA,True
mainboardGrey,toACmainboard,1.17602,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,1.2290665,64,AA 31 40 00 4C 58 1B 61 16 00 00 00 1D 49 07 00 B7 88 34 B1 1E 00 11 16 FF 03 02 05 03 00 00 00 00 00 FE 04 02 06 00 86 01 64 00 64 00 60 64 00 F0 1B 14 00 00 00 00 00 00 00 00 00 00 00 FD 3E,0xAA,True
mainboardGrey,toACmainboard,1.3362055,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BA DF,0xAA,True
mainboardBlue,fromACmainboard,1.39377325,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
Channel 6,toACbusadapter_HAHB,1.41249325,16,AA C0 05 00 00 00 00 00 00 00 00 00 00 3F FC 55,0xAA,True
Channel 7,fromACbusadapter_HAHB,1.432524,32,AA C0 00 00 05 00 10 30 84 80 57 58 69 00 29 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 98 55,0xAA,True
mainboardGrey,toACmainboard,1.455871,10,AA 30 0A 01 FF 03 00 4E D6 9F,0xAA,True
mainboardBlue,fromACmainboard,1.48756475,64,AA 30 40 60 09 B2 0C 32 00 72 01 2A 1B 1B 00 02 A2 03 61 61 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 16 72 A4 B3 00 01 11 B0 00 0F E6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 06 B5,0xAA,True
mainboardGrey,toACmainboard,1.58634025,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BA DF,0xAA,True
bidirectionalExtensionBoard,toACdisplay,1.63949475,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 01 41 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FE A5 6E 00 B1,0xAA,True
mainboardBlue,fromACmainboard,1.64588575,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
Channel 6,toACbusadapter_HAHB,1.71268675,16,AA C4 05 00 00 00 A5 5A 00 00 00 00 00 3B FD 55,0xAA,True
mainboardGrey,toACmainboard,1.71612875,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
Channel 7,fromACbusadapter_HAHB,1.73289425,32,AA C4 00 00 05 00 05 00 02 30 0E 00 00 00 00 00 84 80 57 BC D6 2F 68 00 00 00 00 00 00 00 6E 55,0xAA,True
mainboardBlue,fromACmainboard,1.770912,64,AA 31 40 00 4C 58 1B 61 16 00 00 00 1D 49 07 00 B7 88 34 B1 1E 00 11 16 FF 03 02 05 03 00 00 00 00 00 FE 04 02 06 00 86 01 64 00 64 00 60 64 00 F0 1B 14 00 00 00 00 00 00 00 00 00 00 00 FD 3E,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,1.8373905,38,55 BC 22 AC 00 00 00 00 00 03 03 C1 21 01 41 1B 1B 00 02 DE 03 4E 5F 33 39 20 00 00 00 00 00 00 00 00 00 B6 00 EF,0x55,True
mainboardGrey,toACmainboard,1.876213,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BA DF,0xAA,True
mainboardBlue,fromACmainboard,1.9335955,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
mainboardGrey,toACmainboard,1.99599675,10,AA 30 0A 01 FF 03 00 4E D6 9F,0xAA,True
Channel 6,toACbusadapter_HAHB,2.01268225,16,AA C0 05 00 00 00 00 00 00 00 00 00 00 3F FC 55,0xAA,True
mainboardBlue,fromACmainboard,2.0269435,64,AA 30 40 60 09 B2 0C 32 00 72 01 2A 1B 1B 00 02 A2 03 61 61 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 16 72 A4 B3 00 01 11 B0 00 0F E6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 06 B5,0xAA,True
Channel 7,fromACbusadapter_HAHB,2.032614,32,AA C0 00 00 05 00 10 30 84 80 57 58 69 00 29 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 98 55,0xAA,True
mainboardGrey,toACmainboard,2.12611425,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BA DF,0xAA,True
mainboardBlue,fromACmainboard,2.1850165,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
mainboardGrey,toACmainboard,2.25578875,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,2.308948,64,AA 31 40 00 4C 58 1B 61 16 00 00 00 1D 49 07 00 B7 88 34 B1 1E 00 11 16 FF 03 02 05 03 00 00 00 00 00 FE 04 02 06 00 86 01 64 00 64 00 60 64 00 F0 1B 14 00 00 00 00 00 00 00 00 00 00 00 FD 3E,0xAA,True
Channel 6,toACbusadapter_HAHB,2.31294875,32,AA D0 20 01 00 84 80 57 00 00 00 00 00 00 00 06 18 00 60 01 00 00 00 00 00 00 00 00 00 E2 53 55,0xAA,True
mainboardGrey,toACmainboard,2.41632175,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BA DF,0xAA,True
mainboardBlue,fromACmainboard,2.47448625,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
mainboardGrey,toACmainboard,2.53564825,10,AA 30 0A 01 FF 03 00 4E D6 9F,0xAA,True
mainboardBlue,fromACmainboard,2.5673065,64,AA 30 40 60 09 B2 0C 32 00 72 01 2A 1B 1B 00 02 A2 03 61 61 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 16 72 A4 B3 00 01 11 B0 00 0F E6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 06 B5,0xAA,True
Channel 6,toACbusadapter_HAHB,2.6127775,16,AA C0 05 00 00 00 00 00 00 00 00 00 00 3F FC 55,0xAA,True
Channel 7,fromACbusadapter_HAHB,2.63266475,32,AA C0 00 00 05 00 10 30 84 80 57 58 69 00 29 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 98 55,0xAA,True
mainboardGrey,toACmainboard,2.6660285,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BA DF,0xAA,True
mainboardBlue,fromACmainboard,2.72449975,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
bidirectionalExtensionBoard,toACdisplay,2.738711,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 88 C4 E3 00 92,0xAA,True
mainboardGrey,toACmainboard,2.78585275,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,2.83983475,64,AA 31 40 00 4C 58 1B 61 16 00 00 00 1D 49 07 00 B7 88 34 B1 1E 00 11 16 FF 03 02 05 03 00 00 00 00 00 FE 04 02 06 00 83 01 64 00 64 00 60 64 00 F0 1B 14 00 00 00 00 00 00 00 00 00 00 00 15 29,0xAA,True
Channel 6,toACbusadapter_HAHB,2.912971,16,AA C4 05 00 00 00 A5 5A 00 00 00 00 00 3B FD 55,0xAA,True
Channel 7,fromACbusadapter_HAHB,2.93292675,32,AA C4 00 00 05 00 05 00 02 30 0E 00 00 00 00 00 84 80 57 BC D6 2F 68 00 00 00 00 00 00 00 6E 55,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,2.93532075,38,55 BC 22 AC 00 00 00 00 00 03 03 C1 21 01 42 61 61 00 00 00 00 00 00 40 01 00 00 00 00 00 00 00 00 00 00 04 00 EF,0x55,True
mainboardGrey,toACmainboard,2.9462305,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BA DF,0xAA,True
mainboardBlue,fromACmainboard,3.0043965,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
mainboardGrey,toACmainboard,3.0657155,10,AA 30 0A 01 FF 03 00 4E D6 9F,0xAA,True
mainboardBlue,fromACmainboard,3.09692825,64,AA 30 40 60 09 B2 0C 32 00 72 01 2A 1B 1B 00 02 A2 03 61 61 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 16 72 A4 B3 00 01 11 B0 00 0F E6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 06 B5,0xAA,True
mainboardGrey,toACmainboard,3.1962595,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BA DF,0xAA,True
Channel 6,toACbusadapter_HAHB,3.21292475,16,AA C0 05 00 00 00 00 00 00 00 00 00 00 3F FC 55,0xAA,True
Channel 7,fromACbusadapter_HAHB,3.2329715,32,AA C0 00 00 05 00 10 30 84 80 57 58 69 00 29 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 98 55,0xAA,True
mainboardBlue,fromACmainboard,3.2541525,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
mainboardGrey,toACmainboard,3.3157935,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,3.369141,64,AA 31 40 00 4C 58 1B 61 16 00 00 00 1D 49 07 00 B7 88 34 B1 1E 00 11 16 FF 03 02 05 03 00 00 00 00 00 FE 04 02 06 00 83 01 64 00 64 00 60 64 00 F0 1B 14 00 00 00 00 00 00 00 00 00 00 00 15 29,0xAA,True
mainboardGrey,toACmainboard,3.4762235,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BA DF,0xAA,True
Channel 6,toACbusadapter_HAHB,3.513212,32,AA D0 20 01 00 84 80 57 00 00 00 00 00 00 00 06 18 00 60 01 00 00 00 00 00 00 00 00 00 E2 53 55,0xAA,True
mainboardBlue,fromACmainboard,3.53400025,29,AA 20 1D 03 00 14 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 90 1C,0xAA,True
mainboardGrey,toACmainboard,3.5956645,10,AA 30 0A 01 FF 03 00 4E D6 9F,0xAA,True
