channel,start_time,packet_len,packet_content,start_byte,valid_start
mainboardGrey,1.35e-05,1,FE,0xFE,False
mainboardBlue,0.000309,11,00 FF 00 00 00 00 00 00 00 5F 61,0x00,False
mainboardGrey,0.04394675,10,AA 30 0A 01 FF 03 00 50 54 1F,0xAA,True
mainboardBlue,0.07488075,64,AA 30 40 C4 09 92 09 4C 04 8E 03 25 00 00 01 01 AC 03 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 08 00 1B 72 AF B3 00 01 0A DF 00 00 50 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7C C3,0xAA,True
mainboardGrey,0.17437575,36,AA 20 24 03 4A 66 00 00 00 40 00 00 00 00 00 00 90 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B9 82,0xAA,True
mainboardBlue,0.232484,29,AA 20 1D 03 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 5F 61,0xAA,True
bidirectionalExtensionBoard,0.26793175,38,AA BC 22 AC 00 00 00 00 00 03 03 93 00 80 84 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 17 89 C2 00 CD,0xAA,True
mainboardGrey,0.293933375,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,0.3481545,64,AA 31 40 00 4A 26 1B 00 1B 00 00 00 00 33 07 00 B7 88 33 B1 1E 00 11 16 00 00 00 00 00 00 00 00 00 00 FF 03 00 00 00 02 00 64 00 64 00 00 64 00 F0 00 00 00 00 00 00 00 00 00 00 00 00 00 17 10,0xAA,True
mainboardGrey,0.4541305,36,AA 20 24 03 4A 66 00 00 00 40 00 00 00 00 00 00 90 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B9 82,0xAA,True
bidirectionalExtensionBoard,0.46575625,44,55 BC 28 AC 00 00 00 00 00 03 03 93 00 00 84 00 00 00 00 00 10 30 05 00 02 30 0E 00 BC D6 60 00 00 00 00 80 80 80 80 00 00 98 00 EF,0x55,True
mainboardBlue,0.511821125,29,AA 20 1D 03 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 5F 61,0xAA,True
mainboardGrey,0.57377375,10,AA 30 0A 01 FF 03 00 50 54 1F,0xAA,True
mainboardBlue,0.604440625,64,AA 30 40 C4 09 92 09 4C 04 8E 03 25 00 00 01 01 AC 03 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 08 00 1B 72 AF B3 00 01 0A DF 00 00 50 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7C C3,0xAA,True
mainboardGrey,0.70409075,36,AA 20 24 03 4A 66 00 00 00 40 00 00 00 00 00 00 90 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B9 82,0xAA,True
mainboardBlue,0.762391,29,AA 20 1D 03 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 5F 61,0xAA,True
mainboardGrey,0.823896,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,0.877978125,64,AA 31 40 00 4A 26 1B 00 1B 00 00 00 00 33 07 00 B7 88 33 B1 1E 00 11 16 00 00 00 00 00 00 00 00 00 00 FF 03 00 00 00 02 00 64 00 64 00 00 64 00 F0 00 00 00 00 00 00 00 00 00 00 00 00 00 17 10,0xAA,True
mainboardGrey,0.984261125,36,AA 20 24 03 4A 66 00 00 00 40 00 00 00 00 00 00 90 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B9 82,0xAA,True
mainboardBlue,1.042863875,29,AA 20 1D 03 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 5F 61,0xAA,True
mainboardGrey,1.113847875,10,AA 30 0A 01 FF 03 00 50 54 1F,0xAA,True
mainboardBlue,1.144801,64,AA 30 40 C4 09 92 09 4C 04 8E 03 25 00 00 01 01 AC 03 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 08 00 1B 72 AF B3 00 01 0A DF 00 00 50 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7C C3,0xAA,True
mainboardGrey,1.244136125,36,AA 20 24 03 4A 66 00 00 00 40 00 00 00 00 00 00 90 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B9 82,0xAA,True
mainboardBlue,1.302574,29,AA 20 1D 03 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 5F 61,0xAA,True
mainboardGrey,1.363833625,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
bidirectionalExtensionBoard,1.36714775,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 01 41 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 9A A1 D2 00 B5,0xAA,True
mainboardBlue,1.418133625,64,AA 31 40 00 4A 26 1B 00 1B 00 00 00 00 33 07 00 B7 88 33 B1 1E 00 11 16 00 00 00 00 00 00 00 00 00 00 FF 03 00 00 00 02 00 64 00 64 00 00 64 00 F0 00 00 00 00 00 00 00 00 00 00 00 00 00 17 10,0xAA,True
mainboardGrey,1.524140625,36,AA 20 24 03 4A 66 00 00 00 40 00 00 00 00 00 00 90 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B9 82,0xAA,True
bidirectionalExtensionBoard,1.565638125,38,55 BC 22 AC 00 00 00 00 00 03 03 C1 21 01 41 00 00 01 01 E8 03 50 4F 48 44 1C 00 00 00 00 00 00 00 00 00 D4 00 EF,0x55,True
mainboardBlue,1.5816165,29,AA 20 1D 03 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 5F 61,0xAA,True
mainboardGrey,1.64364775,10,AA 30 0A 01 FF 03 00 50 54 1F,0xAA,True
mainboardBlue,1.674262125,64,AA 30 40 C4 09 92 09 4C 04 8E 03 25 00 00 01 01 AC 03 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 08 00 1B 72 AF B3 00 01 0A DF 00 00 50 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7C C3,0xAA,True
mainboardGrey,1.7740825,36,AA 20 24 03 4A 66 00 00 00 40 00 00 00 00 00 00 90 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B9 82,0xAA,True
mainboardBlue,1.8321915,29,AA 20 1D 03 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 5F 61,0xAA,True
mainboardGrey,1.89378,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,1.9477165,64,AA 31 40 00 4A 26 1B 00 1B 00 00 00 00 33 07 00 B7 88 33 B1 1E 00 11 16 00 00 00 00 00 00 00 00 00 00 FF 03 00 00 00 02 00 64 00 64 00 00 64 00 F0 00 00 00 00 00 00 00 00 00 00 00 00 00 17 10,0xAA,True
