Time [s],MideaIR
0.000000000,1
329.146804250,0
329.147099000,1
329.150960750,0
329.151365750,1
329.153095500,0
329.153517750,1
329.154142500,0
329.154591250,1
329.156349500,0
329.156615000,1
329.158689250,0
329.158961250,1
331.416283000,0
331.420703250,1
331.425064250,0
331.425603750,1
331.427215000,0
331.427777750,1
331.428289000,0
331.428852750,1
331.430441250,0
331.430978250,1
331.432590500,0
331.433128500,1
331.433665000,0
331.434203500,1
331.434739500,0
331.435302750,1
331.436890250,0
331.437453000,1
331.437964750,0
331.438504250,1
331.439039750,0
331.439602000,1
331.441188500,0
331.441753000,1
331.442264500,0
331.442828000,1
331.443339500,0
331.443878500,1
331.445490000,0
331.446053250,1
331.447639750,0
331.448203000,1
331.448714250,0
331.449278250,1
331.450865500,0
331.451428250,1
331.453015000,0
331.453578500,1
331.454089500,0
331.454653250,1
331.456240250,0
331.456803500,1
331.458389750,0
331.458953750,1
331.460539750,0
331.461103500,1
331.462690500,0
331.463253250,1
331.464840250,0
331.465403500,1
331.466990750,0
331.467553250,1
331.468064750,0
331.468628500,1
331.470214500,0
331.470778250,1
331.471290750,0
331.471853500,1
331.472365500,0
331.472928500,1
331.473440000,0
331.474003250,1
331.474515000,0
331.475078000,1
331.475589750,0
331.476153000,1
331.476665000,0
331.477227500,1
331.477740000,0
331.478302500,1
331.479889750,0
331.480452250,1
331.480964500,0
331.481526000,1
331.483115000,0
331.483676750,1
331.484190000,0
331.484727250,1
331.485264500,0
331.485802250,1
331.486339500,0
331.486901000,1
331.487414250,0
331.487975750,1
331.489564750,0
331.490125500,1
331.490639500,0
331.491200500,1
331.492790000,0
331.493350750,1
331.493864500,0
331.494425000,1
331.496014750,0
331.496574750,1
331.498165000,0
331.498724750,1
331.500314500,0
331.500874000,1
331.502465000,0
331.503024000,1
331.508207500,0
331.512599750,1
331.516992250,0
331.517524500,1
331.519163250,0
331.519674750,1
331.520238250,0
331.520749250,1
331.522388250,0
331.522899000,1
331.524538250,0
331.525049000,1
331.525613250,0
331.526123750,1
331.526688500,0
331.527198750,1
331.528838250,0
331.529348250,1
331.529913250,0
331.530423250,1
331.530988250,0
331.531498250,1
331.533138250,0
331.533648000,1
331.534213500,0
331.534723000,1
331.535288500,0
331.535797500,1
331.537438500,0
331.537947500,1
331.539588500,0
331.540097250,1
331.540663500,0
331.541172000,1
331.542813500,0
331.543321750,1
331.544963750,0
331.545471750,1
331.546038750,0
331.546546750,1
331.548189000,0
331.548696500,1
331.550339250,0
331.550846000,1
331.552489250,0
331.552996000,1
331.554639250,0
331.555145750,1
331.556789500,0
331.557296000,1
331.558939500,0
331.559445750,1
331.560014500,0
331.560520500,1
331.562164750,0
331.562670500,1
331.563239500,0
331.563745750,1
331.564314750,0
331.564820750,1
331.565389750,0
331.565895500,1
331.566464500,0
331.566970500,1
331.567539750,0
331.568045500,1
331.568614750,0
331.569120500,1
331.569689500,0
331.570195500,1
331.571839750,0
331.572345750,1
331.572914750,0
331.573420500,1
331.575064750,0
331.575570500,1
331.576140000,0
331.576645500,1
331.577215000,0
331.577720750,1
331.578289750,0
331.578795500,1
331.579365000,0
331.579870500,1
331.581515000,0
331.582020750,1
331.582590000,0
331.583095750,1
331.584740250,0
331.585245750,1
331.585815250,0
331.586320750,1
331.587965500,0
331.588471000,1
331.590115500,0
331.590621000,1
331.592265500,0
331.592771250,1
331.594415750,0
331.594921000,1
331.600158000,0
331.604521500,1
331.608942000,0
331.609447000,1
331.611091750,0
331.611597250,1
331.613242000,0
331.613747250,1
331.614316750,0
331.614822250,1
331.616466750,0
331.616972250,1
331.617541750,0
331.618047250,1
331.619692000,0
331.620197250,1
331.620767000,0
331.621272250,1
331.622917000,0
331.623422250,1
331.623992000,0
331.624497250,1
331.626142000,0
331.626647250,1
331.628292000,0
331.628797250,1
331.629367000,0
331.629872250,1
331.630442000,0
331.630947250,1
331.632592000,0
331.633097250,1
331.634742250,0
331.635247500,1
331.635817250,0
331.636322500,1
331.636892000,0
331.637397250,1
331.637967250,0
331.638472500,1
331.639042250,0
331.639547500,1
331.640117500,0
331.640622250,1
331.641192250,0
331.641697500,1
331.642267250,0
331.642772500,1
331.643342500,0
331.643847750,1
331.644417500,0
331.644922500,1
331.645492500,0
331.645997500,1
331.646567500,0
331.647072250,1
331.647642500,0
331.648147250,1
331.648717500,0
331.649222500,1
331.649792500,0
331.650297250,1
331.650867750,0
331.651372500,1
331.651942750,0
331.652447500,1
331.653017750,0
331.653522750,1
331.654092750,0
331.654597750,1
331.655167750,0
331.655672750,1
331.656242750,0
331.656747500,1
331.657317750,0
331.657822500,1
331.658392750,0
331.658897750,1
331.659468000,0
331.659972750,1
331.660543000,0
331.661047750,1
331.661618000,0
331.662122500,1
331.662693000,0
331.663197750,1
331.663768000,0
331.664272750,1
331.665918250,0
331.666422750,1
331.668068500,0
331.668572750,1
331.670218500,0
331.670722750,1
331.671293500,0
331.671798000,1
331.673443500,0
331.673948000,1
331.675593750,0
331.676098000,1
332.285214000,0
332.289635000,1
332.293995750,0
332.294559250,1
332.296145750,0
332.296684750,1
332.297222500,0
332.297760250,1
332.299371000,0
332.299909750,1
332.301520250,0
332.302084000,1
332.302598250,0
332.303159500,1
332.303671000,0
332.304234750,1
332.305821750,0
332.306384250,1
332.306897500,0
332.307435250,1
332.307972500,0
332.308510000,1
332.310121500,0
332.310660250,1
332.311196000,0
332.311759750,1
332.312272000,0
332.312834500,1
332.314423750,0
332.314984750,1
332.316571500,0
332.317134750,1
332.317646250,0
332.318210000,1
332.319797750,0
332.320360000,1
332.321947000,0
332.322509750,1
332.323022250,0
332.323585250,1
332.325172500,0
332.325735250,1
332.327322000,0
332.327885500,1
332.329471000,0
332.330035250,1
332.331622750,0
332.332185500,1
332.333772500,0
332.334335500,1
332.335922000,0
332.336485500,1
332.336997000,0
332.337560500,1
332.339147500,0
332.339710750,1
332.340222500,0
332.340785750,1
332.341298250,0
332.341860500,1
332.342372250,0
332.342935750,1
332.343447250,0
332.344010750,1
332.344522250,0
332.345085500,1
332.345597250,0
332.346160250,1
332.346672500,0
