channel,direction,start_time,packet_len,packet_content,start_byte,valid_start
Channel 6,toACbusadapter_HAHB,0.0,12,F0 08 AA A0 00 00 00 00 03 BF D5 55,0xF0,False
mainboardGrey,toACmainboard,8.1e-05,25,83 00 00 00 00 A0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7B AC,0x83,False
bidirectionalExtensionBoard,unknown,0.004128,3,BA 00 EF,0xBA,False
Channel 7,fromACbusadapter_HAHB,0.0184705,32,AA C4 00 00 05 00 05 00 02 30 0E 00 00 00 00 00 84 80 58 BC D6 30 7A 00 00 00 00 00 00 00 5A 55,0xAA,True
mainboardBlue,fromACmainboard,0.0476475,29,AA 20 1D 03 00 3C 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 17 6D,0xAA,True
mainboardGrey,toACmainboard,0.10894925,10,AA 30 0A 00 FF 03 00 00 42 82,0xAA,True
mainboardBlue,fromACmainboard,0.14014825,64,AA 30 40 EC 09 04 10 90 01 9A 01 3B 4A 5A 00 05 A8 03 75 74 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 3E 72 AC B3 00 01 11 CD 00 2F 12 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 06,0xAA,True
mainboardGrey,toACmainboard,0.23957375,36,AA 20 24 03 4E 66 00 00 00 40 00 00 00 00 00 00 A0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7B AC,0xAA,True
mainboardBlue,fromACmainboard,0.29725475,29,AA 20 1D 03 00 3C 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 17 6D,0xAA,True
Channel 6,toACbusadapter_HAHB,0.298651,32,AA D0 20 01 00 84 80 58 00 00 00 00 00 00 00 04 19 00 60 22 00 00 00 00 00 00 00 00 00 DC 38 55,0xAA,True
mainboardGrey,toACmainboard,0.3590755,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,0.41231425,64,AA 31 40 00 51 5A 1B 61 3E 00 00 00 02 4A 07 00 B7 88 34 B1 1E 00 0F 16 FE 04 03 05 03 00 00 00 00 00 FA 09 01 06 00 99 04 64 00 64 00 60 64 00 F0 51 3C 00 00 00 00 00 00 00 00 00 00 00 A5 0E,0xAA,True
mainboardGrey,toACmainboard,0.5193905,36,AA 20 24 03 4E 66 00 00 00 40 00 00 00 00 00 00 A0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7B AC,0xAA,True
mainboardBlue,fromACmainboard,0.57709625,29,AA 20 1D 03 00 3C 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 17 6D,0xAA,True
Channel 6,toACbusadapter_HAHB,0.59853175,16,AA C4 0F 00 00 00 A5 5A 00 00 00 00 00 3B F3 55,0xAA,True
mainboardGrey,toACmainboard,0.63915,10,AA 30 0A 00 FF 03 00 00 42 82,0xAA,True
mainboardBlue,fromACmainboard,0.6704665,64,AA 30 40 EC 09 04 10 90 01 9A 01 3B 4A 5A 00 05 A8 03 75 74 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 3E 72 AC B3 00 01 11 CD 00 2F 12 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 06,0xAA,True
