channel,direction,start_time,packet_len,packet_content,start_byte,valid_start
mainboardBlue,fromACmainboard,0.000512,3,02 13 51,0x02,False
Channel 6,toACbusadapter_HAHB,0.0230805,32,AA D0 20 01 00 84 80 57 00 00 00 00 00 00 00 06 18 00 A0 37 00 00 00 00 00 00 00 00 00 78 47 55,0xAA,True
mainboardGrey,toACmainboard,0.04274825,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 E0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 96 53,0xAA,True
mainboardBlue,fromACmainboard,0.10150475,29,AA 20 1D 03 00 50 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 48 28,0xAA,True
bidirectionalExtensionBoard,toACdisplay,0.16688,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 18 D5 53 00 81,0xAA,True
mainboardGrey,toACmainboard,0.17229825,10,AA 30 0A 01 FF 03 00 4C 6A 0D,0xAA,True
mainboardBlue,fromACmainboard,0.20306575,64,AA 30 40 FC 08 94 11 64 00 9A 01 58 3D 3D 00 04 A7 03 7F 7F 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 1A 72 B1 B3 00 01 0D 03 00 29 A4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D8 1A,0xAA,True
mainboardGrey,toACmainboard,0.302838,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 E0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 96 53,0xAA,True
Channel 6,toACbusadapter_HAHB,0.32302375,16,AA C4 05 00 00 00 A5 5A 00 00 00 00 00 3B FD 55,0xAA,True
mainboardBlue,fromACmainboard,0.360834,29,AA 20 1D 03 00 50 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 48 28,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,0.36393075,38,55 BC 22 AC 00 00 00 00 00 03 03 C1 21 01 42 7F 7F 00 00 00 00 00 00 40 01 00 00 00 00 00 00 00 00 00 00 C8 00 EF,0x55,True
mainboardGrey,toACmainboard,0.422254,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,0.4763295,64,AA 31 40 00 4C 2F 1B 61 1A 00 00 00 62 36 07 00 B7 88 34 B1 1E 00 0F 16 FF 04 03 03 03 00 00 00 00 00 FB 08 01 06 00 09 04 64 00 64 00 48 64 00 F0 3D 50 00 00 00 00 00 00 00 00 00 00 00 13 51,0xAA,True
