channel,direction,start_time,packet_len,packet_content,start_byte,valid_start
mainboardBlue,fromACmainboard,0.000512,37,16 00 00 00 00 00 00 08 61 1B 72 BB B3 00 01 0C 9B 00 3D 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 8C 8A,0x16,False
mainboardGrey,toACmainboard,0.07117225,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 80 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BB 8E,0xAA,True
mainboardBlue,fromACmainboard,0.1291335,29,AA 20 1D 03 00 64 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 DC 80,0xAA,True
mainboardGrey,toACmainboard,0.19114375,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,0.24485825,64,AA 31 40 00 4C 2E 1B 61 1B 00 00 00 3B 36 07 00 B7 88 33 B1 1E 00 0E 17 FE 05 04 08 03 00 00 00 00 00 F9 0A 01 06 00 F8 05 64 00 64 00 48 64 00 F0 51 64 00 00 00 00 00 00 00 00 00 00 00 D3 9B,0xAA,True
Channel 6,toACbusadapter_HAHB,0.26840325,16,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02 55,0xAA,True
Channel 7,fromACbusadapter_HAHB,0.28851475,32,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 57 BC D6 31 BC 00 00 00 00 00 00 00 1D 55,0xAA,True
mainboardGrey,toACmainboard,0.351351,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 80 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BB 8E,0xAA,True
bidirectionalExtensionBoard,toACdisplay,0.354098,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 01 43 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6F 65 FB 00 F1,0xAA,True
mainboardBlue,fromACmainboard,0.40895125,29,AA 20 1D 03 00 64 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 DC 80,0xAA,True
mainboardGrey,toACmainboard,0.4707655,10,AA 30 0A 01 FF 03 00 42 75 0C,0xAA,True
mainboardBlue,fromACmainboard,0.50093875,64,AA 30 40 08 07 36 10 C8 00 CC 01 7D 50 5A 00 07 A0 03 89 8A 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 1B 72 BB B3 00 01 0C 9B 00 3D 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 8C 8A,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,0.55251225,38,55 BC 22 AC 00 00 00 00 00 03 03 C1 21 01 03 00 00 00 00 00 08 61 1B 72 BB B3 00 51 00 00 00 00 00 00 00 91 00 EF,0x55,True
Channel 6,toACbusadapter_HAHB,0.56850275,32,AA D0 20 01 00 84 80 57 00 00 00 00 00 00 00 06 13 00 A0 0E 00 00 00 00 00 00 00 00 00 F1 FC 55,0xAA,True
mainboardGrey,toACmainboard,0.601344,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 80 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BB 8E,0xAA,True
mainboardBlue,fromACmainboard,0.6596785,29,AA 20 1D 03 00 64 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 DC 80,0xAA,True
mainboardGrey,toACmainboard,0.7208705,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,0.774554,64,AA 31 40 00 4C 2E 1B 61 1B 00 00 00 3B 36 07 00 B7 88 33 B1 1E 00 0E 17 FE 05 04 08 03 00 00 00 00 00 F9 0A 01 06 00 F8 05 64 00 64 00 48 64 00 F0 51 64 00 00 00 00 00 00 00 00 00 00 00 D3 9B,0xAA,True
Channel 6,toACbusadapter_HAHB,0.868519,16,AA C4 02 00 00 00 A5 5A 00 00 00 00 00 3B 00 55,0xAA,True
mainboardGrey,toACmainboard,0.88114125,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 80 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BB 8E,0xAA,True
mainboardBlue,fromACmainboard,0.939123,29,AA 20 1D 03 00 64 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 DC 80,0xAA,True
mainboardGrey,toACmainboard,1.000842,10,AA 30 0A 01 FF 03 00 42 75 0C,0xAA,True
mainboardBlue,fromACmainboard,1.03186775,64,AA 30 40 08 07 36 10 C8 00 CC 01 7D 50 5A 00 07 A0 03 89 8A 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 1B 72 BB B3 00 01 0C 9B 00 3D 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 8C 8A,0xAA,True
mainboardGrey,toACmainboard,1.131466,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 80 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BB 8E,0xAA,True
Channel 6,toACbusadapter_HAHB,1.168556,32,AA D0 20 01 00 84 80 57 00 00 00 00 00 00 00 06 13 00 A0 0E 00 00 00 00 00 00 00 00 00 F1 FC 55,0xAA,True
mainboardBlue,fromACmainboard,1.18960225,29,AA 20 1D 03 00 64 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 DC 80,0xAA,True
mainboardGrey,toACmainboard,1.25100925,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,1.30567075,64,AA 31 40 00 4C 2E 1B 61 1B 00 00 00 3B 36 07 00 B7 88 33 B1 1E 00 0E 17 FE 05 04 08 03 00 00 00 00 00 F9 0A 01 06 00 F8 05 64 00 64 00 48 64 00 F0 51 64 00 00 00 00 00 00 00 00 00 00 00 D3 9B,0xAA,True
mainboardGrey,toACmainboard,1.41136975,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 80 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BB 8E,0xAA,True
bidirectionalExtensionBoard,toACdisplay,1.45351775,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 00 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F7 91 B8 00 C5,0xAA,True
Channel 6,toACbusadapter_HAHB,1.46858275,16,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02 55,0xAA,True
mainboardBlue,fromACmainboard,1.47000675,29,AA 20 1D 03 00 64 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 DC 80,0xAA,True
Channel 7,fromACbusadapter_HAHB,1.48868925,32,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 57 BC D6 31 BC 00 00 00 00 00 00 00 1D 55,0xAA,True
mainboardGrey,toACmainboard,1.54082475,10,AA 30 0A 01 FF 03 00 42 75 0C,0xAA,True
mainboardBlue,fromACmainboard,1.57218575,64,AA 30 40 08 07 36 10 C8 00 CC 01 7D 50 5A 00 07 A0 03 89 8A 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 1B 72 BB B3 00 01 0C 9B 00 3D 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 8C 8A,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,1.650612,44,55 BC 28 AC 00 00 00 00 00 03 03 C0 01 87 66 7F 7F 00 00 80 00 00 56 3B 0B 00 60 00 00 00 00 00 00 00 01 00 00 00 00 00 00 FD 00 EF,0x55,True
mainboardGrey,toACmainboard,1.67124025,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 80 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BB 8E,0xAA,True
mainboardBlue,fromACmainboard,1.72937775,29,AA 20 1D 03 00 64 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 DC 80,0xAA,True
Channel 6,toACbusadapter_HAHB,1.7687655,16,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01 55,0xAA,True
Channel 7,fromACbusadapter_HAHB,1.78878975,32,AA C0 00 00 00 00 10 30 84 80 57 4C 7B 00 2C 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 94 55,0xAA,True
mainboardGrey,toACmainboard,1.7911205,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,1.84530775,64,AA 31 40 00 4C 2E 1B 61 1B 00 00 00 3B 36 07 00 B7 88 33 B1 1E 00 0E 17 FE 05 04 08 03 00 00 00 00 00 F9 0A 01 06 00 F8 05 64 00 64 00 48 64 00 F0 51 64 00 00 00 00 00 00 00 00 00 00 00 D3 9B,0xAA,True
mainboardGrey,toACmainboard,1.95143125,36,AA 20 24 03 4C 66 00 00 00 40 00 00 00 00 00 00 80 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BB 8E,0xAA,True
mainboardBlue,fromACmainboard,2.0093105,29,AA 20 1D 03 00 64 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 DC 80,0xAA,True
Channel 6,toACbusadapter_HAHB,2.06874025,16,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02 55,0xAA,True
mainboardGrey,toACmainboard,2.0710065,10,AA 30 0A 01 FF 03 00 42 75 0C,0xAA,True
Channel 7,fromACbusadapter_HAHB,2.088773,32,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 57 BC D6 31 BC 00 00 00 00 00 00 00 1D 55,0xAA,True
mainboardBlue,fromACmainboard,2.102051,64,AA 30 40 08 07 36 10 C8 00 CC 01 7D 50 5A 00 07 A0 03 89 8A 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 1B 72 BB B3 00 01 0C 9B 00 3D 22 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 8C 8A,0xAA,True
