channel,direction,start_time,packet_len,packet_content,start_byte,valid_start
mainboardBlue,fromACmainboard,0.000512,1,DD,0xDD,False
bidirectionalExtensionBoard,unknown,0.003191,9,00 00 00 00 00 00 7C 00 EF,0x00,False
mainboardGrey,toACmainboard,0.03280025,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
Channel 6,toACbusadapter_HAHB,0.07611925,16,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02 55,0xAA,True
mainboardBlue,fromACmainboard,0.08672275,64,AA 31 40 00 5D 31 1B 61 2E 00 00 00 06 37 07 00 B7 88 34 B1 1E 00 0F 16 FE 04 03 03 02 00 00 00 00 00 F9 0A 01 06 00 65 05 64 00 64 00 24 64 00 F0 51 67 00 00 00 00 00 00 00 00 00 00 00 BB 7B,0xAA,True
Channel 7,fromACbusadapter_HAHB,0.096149,32,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 90 80 5E BC D6 30 8E 00 00 00 00 00 00 00 39 55,0xAA,True
mainboardGrey,toACmainboard,0.19319,36,AA 20 24 04 5A 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6E 1C,0xAA,True
mainboardBlue,fromACmainboard,0.25111675,29,AA 20 1D 03 00 67 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 7C DD,0xAA,True
mainboardGrey,toACmainboard,0.3127355,10,AA 30 0A 00 FF 03 00 00 42 82,0xAA,True
mainboardBlue,fromACmainboard,0.34393225,64,AA 30 40 D2 0A F2 12 FA 00 90 01 4D 50 5A 00 06 A1 03 8E 8D 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 2E 72 BD B3 00 01 0D 81 00 37 B4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D4 61,0xAA,True
Channel 6,toACbusadapter_HAHB,0.37630225,32,AA D0 20 01 00 90 80 5E 00 00 00 00 00 00 00 04 19 00 A2 06 00 00 00 00 00 00 00 00 00 C9 13 55,0xAA,True
mainboardGrey,toACmainboard,0.44301475,36,AA 20 24 04 5A 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6E 1C,0xAA,True
mainboardBlue,fromACmainboard,0.500928,29,AA 20 1D 03 00 67 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 7C DD,0xAA,True
mainboardGrey,toACmainboard,0.562672,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,0.6160625,64,AA 31 40 00 5D 31 1B 61 2E 00 00 00 06 37 07 00 B7 88 34 B1 1E 00 0F 16 FE 04 03 03 02 00 00 00 00 00 F9 0A 01 06 00 65 05 64 00 64 00 24 64 00 F0 51 67 00 00 00 00 00 00 00 00 00 00 00 BB 7B,0xAA,True
Channel 6,toACbusadapter_HAHB,0.67644375,16,AA C4 05 00 00 00 A5 5A 00 00 00 00 00 3B FD 55,0xAA,True
mainboardGrey,toACmainboard,0.7230285,36,AA 20 24 04 5A 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6E 1C,0xAA,True
mainboardBlue,fromACmainboard,0.780529,29,AA 20 1D 03 00 67 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 7C DD,0xAA,True
bidirectionalExtensionBoard,toACdisplay,0.7839375,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 00 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 38 AE 00 1E,0xAA,True
mainboardGrey,toACmainboard,0.84256825,10,AA 30 0A 00 FF 03 00 00 42 82,0xAA,True
mainboardBlue,fromACmainboard,0.8734075,64,AA 30 40 E6 0A F2 12 FA 00 90 01 4D 50 5A 00 06 A1 03 8E 8E 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 2E 72 BD B3 00 01 0D 81 00 37 AA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 C6,0xAA,True
mainboardGrey,toACmainboard,0.9733815,36,AA 20 24 04 5A 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6E 1C,0xAA,True
Channel 6,toACbusadapter_HAHB,0.97657475,32,AA D0 20 01 00 90 80 5E 00 00 00 00 00 00 00 04 19 00 A2 06 00 00 00 00 00 00 00 00 00 C9 13 55,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,0.9823985,44,55 BC 28 AC 00 00 00 00 00 03 03 C0 01 2E 65 7F 7F 00 00 00 00 00 69 3A 12 00 09 00 00 00 00 00 00 00 01 00 00 00 00 00 00 15 00 EF,0x55,True
mainboardBlue,fromACmainboard,1.03081325,29,AA 20 1D 03 00 67 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 7C DD,0xAA,True
mainboardGrey,toACmainboard,1.09277875,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,1.14722975,64,AA 31 40 00 5D 31 1B 61 2E 00 00 00 06 37 07 00 B7 88 34 B1 1E 00 0F 17 FE 04 03 07 03 00 00 00 00 00 F9 0A 01 06 00 65 05 64 00 64 00 24 64 00 F0 51 67 00 00 00 00 00 00 00 00 00 00 00 68 C8,0xAA,True
mainboardGrey,toACmainboard,1.25295575,36,AA 20 24 04 5A 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6E 1C,0xAA,True
Channel 6,toACbusadapter_HAHB,1.27651825,16,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02 55,0xAA,True
Channel 7,fromACbusadapter_HAHB,1.296408,32,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 90 80 5E BC D6 30 8E 00 00 00 00 00 00 00 39 55,0xAA,True
mainboardBlue,fromACmainboard,1.31068075,29,AA 20 1D 03 00 67 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 7C DD,0xAA,True
mainboardGrey,toACmainboard,1.37260875,10,AA 30 0A 00 FF 03 00 00 42 82,0xAA,True
wifiOrange,fromACdisplay,1.3749485,44,AA 2B AC 00 00 00 00 00 02 04 A5 5A 00 50 00 37 07 BD DD 06 00 00 00 00 00 08 03 2E 2E 61 61 00 06 93 37 33 B3 B7 88 34 00 63 F0 51,0xAA,True
mainboardBlue,fromACmainboard,1.403635,64,AA 30 40 E6 0A F2 12 FA 00 90 01 4D 50 5A 00 06 A1 03 8E 8E 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 2E 72 BD B3 00 01 0D 81 00 37 AA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 C6,0xAA,True
mainboardGrey,toACmainboard,1.50296125,36,AA 20 24 04 5A 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6E 1C,0xAA,True
mainboardBlue,fromACmainboard,1.560776,29,AA 20 1D 03 00 67 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 7C DD,0xAA,True
Channel 6,toACbusadapter_HAHB,1.576618,16,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01 55,0xAA,True
Channel 7,fromACbusadapter_HAHB,1.596653,32,AA C0 00 00 00 00 10 30 94 80 5E 5F 89 00 2D 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 5B 55,0xAA,True
mainboardGrey,toACmainboard,1.6227275,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,1.67716625,64,AA 31 40 00 5D 31 1B 61 2E 00 00 00 06 37 07 00 B7 88 34 B1 1E 00 0F 17 FE 04 03 07 03 00 00 00 00 00 F9 0A 01 06 00 65 05 64 00 64 00 24 64 00 F0 51 67 00 00 00 00 00 00 00 00 00 00 00 68 C8,0xAA,True
mainboardGrey,toACmainboard,1.7829815,36,AA 20 24 04 5A 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6E 1C,0xAA,True
mainboardBlue,fromACmainboard,1.8412595,29,AA 20 1D 03 00 67 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 7C DD,0xAA,True
Channel 6,toACbusadapter_HAHB,1.87670725,16,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02 55,0xAA,True
bidirectionalExtensionBoard,toACdisplay,1.88307725,38,AA BC 22 AC 00 00 00 00 00 03 03 93 00 80 90 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 84 61 49 00 F5,0xAA,True
Channel 7,fromACbusadapter_HAHB,1.89673075,32,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 90 80 5E BC D6 30 8E 00 00 00 00 00 00 00 39 55,0xAA,True
mainboardGrey,toACmainboard,1.90270075,10,AA 30 0A 00 FF 03 00 00 42 82,0xAA,True
mainboardBlue,fromACmainboard,1.933733,64,AA 30 40 E6 0A F2 12 FA 00 90 01 4D 50 5A 00 06 A2 03 8E 8E 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 2E 72 BD B3 00 01 0D 81 00 37 AA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 79 B0,0xAA,True
mainboardGrey,toACmainboard,2.03298925,36,AA 20 24 04 5A 66 00 00 00 40 00 00 00 00 00 00 30 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6E 1C,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,2.0803655,44,55 BC 28 AC 00 00 00 00 00 03 03 93 00 00 94 00 00 00 00 00 10 30 05 00 02 30 0E 00 BC D6 8E 00 00 00 00 80 80 80 80 00 00 5A 00 EF,0x55,True
mainboardBlue,fromACmainboard,2.09137525,29,AA 20 1D 03 00 67 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 7C DD,0xAA,True
mainboardGrey,toACmainboard,2.15271575,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
Channel 6,toACbusadapter_HAHB,2.17684875,32,AA D0 20 01 00 90 80 5E 00 00 00 00 00 00 00 04 19 00 A2 06 00 00 00 00 00 00 00 00 00 C9 13 55,0xAA,True
