channel,direction,start_time,packet_len,packet_content,start_byte,valid_start
bidirectionalExtensionBoard,unknown,0.00104,19,00 08 61 1E 72 AD B3 00 35 00 00 00 00 00 00 00 B8 00 EF,0x00,False
Channel 6,toACbusadapter_HAHB,0.19353525,16,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02 55,0xAA,True
Channel 7,fromACbusadapter_HAHB,0.21342125,32,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 57 BC D6 32 98 00 00 00 00 00 00 00 40 55,0xAA,True
Channel 6,toACbusadapter_HAHB,0.4935205,16,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01 55,0xAA,True
Channel 7,fromACbusadapter_HAHB,0.5133975,32,AA C0 00 00 00 00 10 30 84 80 57 56 83 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 7F 55,0xAA,True
Channel 6,toACbusadapter_HAHB,0.79379725,32,AA D0 20 01 00 84 80 57 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 92 7B 55,0xAA,True
bidirectionalExtensionBoard,toACdisplay,0.8232725,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 00 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F3 F0 BC 00 66,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,1.021708,44,55 BC 28 AC 00 00 00 00 00 03 03 C0 01 87 66 7F 7F 00 00 80 00 00 60 3C 0B 00 30 00 00 00 00 00 00 00 01 00 00 00 00 00 00 22 00 EF,0x55,True
Channel 6,toACbusadapter_HAHB,1.0938135,16,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01 55,0xAA,True
Channel 7,fromACbusadapter_HAHB,1.113989,32,AA C0 00 00 00 00 10 30 84 80 57 56 83 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 7F 55,0xAA,True
Channel 6,toACbusadapter_HAHB,1.3937985,16,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02 55,0xAA,True
Channel 7,fromACbusadapter_HAHB,1.41391725,32,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 57 BC D6 32 98 00 00 00 00 00 00 00 40 55,0xAA,True
Channel 6,toACbusadapter_HAHB,1.6937835,16,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01 55,0xAA,True
Channel 7,fromACbusadapter_HAHB,1.71368775,32,AA C0 00 00 00 00 10 30 84 80 57 56 83 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 7F 55,0xAA,True
bidirectionalExtensionBoard,toACdisplay,1.9223845,38,AA BC 22 AC 00 00 00 00 00 03 03 93 00 80 84 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 78 AD 61 00 A9,0xAA,True
Channel 6,toACbusadapter_HAHB,1.99407075,32,AA D0 20 01 00 84 80 57 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 92 7B 55,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,2.119719,44,55 BC 28 AC 00 00 00 00 00 03 03 93 00 00 84 00 00 00 00 00 10 30 05 00 02 30 0E 00 BC D6 98 00 00 00 00 80 80 80 80 00 00 60 00 EF,0x55,True
Channel 6,toACbusadapter_HAHB,2.294087,16,AA C0 01 00 00 00 00 00 00 00 00 00 00 3F 00 55,0xAA,True
Channel 6,toACbusadapter_HAHB,2.5941345,32,AA D0 20 01 00 84 80 57 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 92 7B 55,0xAA,True
Channel 6,toACbusadapter_HAHB,2.89416125,16,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01 55,0xAA,True
