channel,start_time,packet_len,packet_content,start_byte,valid_start
master,5.594787,31,AA D0 20 01 00 84 80 57 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 92 7B,0xAA,True
master,5.8948135,15,AA C0 03 00 00 00 00 00 00 00 00 00 00 3F FE,0xAA,True
master,6.19504875,31,AA D0 20 01 00 84 80 57 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 92 7B,0xAA,True
bidirectionalExtensionBoard,6.31871225,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 00 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 98 B5 17 00 A1,0xAA,True
master,6.49478375,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,6.514698,31,AA C0 00 00 00 00 10 30 84 80 57 56 83 00 2E 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 80,0xAA,True
bidirectionalExtensionBoard,6.5171505,44,55 BC 28 AC 00 00 00 00 00 03 03 C0 01 87 66 7F 7F 00 00 80 00 00 60 3C 0B 00 40 00 00 00 00 00 00 00 01 00 00 00 00 00 00 12 00 EF,0x55,True
master,6.79501875,15,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02,0xAA,True
slave,6.814971,31,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 57 BC D6 32 98 00 00 00 00 00 00 00 40,0xAA,True
master,7.09521225,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,7.11524975,31,AA C0 00 00 00 00 10 30 84 80 57 56 83 00 2E 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 80,0xAA,True
master,7.39513475,31,AA D0 20 01 00 84 80 57 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 92 7B,0xAA,True
bidirectionalExtensionBoard,7.4179145,38,AA BC 22 AC 00 00 00 00 00 03 03 93 00 80 84 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1D F7 BC 00 5F,0xAA,True
bidirectionalExtensionBoard,7.61519325,44,55 BC 28 AC 00 00 00 00 00 03 03 93 00 00 84 00 00 00 00 00 10 30 05 00 02 30 0E 00 BC D6 98 00 00 00 00 80 80 80 80 00 00 60 00 EF,0x55,True
master,7.69531775,15,AA C0 04 00 00 00 00 00 00 00 00 00 00 3F FD,0xAA,True
master,7.995438,31,AA D0 20 01 00 84 80 57 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 92 7B,0xAA,True
master,8.2953605,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
