Time [s],MideaIR
0.000000000,1
1.476991000,0
1.481413750,1
1.485775250,0
1.486338250,1
1.487927000,0
1.488488750,1
1.488999750,0
1.489564000,1
1.491150250,0
1.491714250,1
1.493300500,0
1.493864250,1
1.494376000,0
1.494940250,1
1.495449750,0
1.496014750,1
1.497600250,0
1.498164000,1
1.498674750,0
1.499239750,1
1.499751250,0
1.500314500,1
1.501901750,0
1.502465250,1
1.502975500,0
1.503539500,1
1.504051750,0
1.504615000,1
1.506202000,0
1.506765000,1
1.508352000,0
1.508915000,1
1.509427250,0
1.509990000,1
1.511576500,0
1.512140000,1
1.513728000,0
1.514290250,1
1.514802500,0
1.515364500,1
1.516952500,0
1.517515000,1
1.519102500,0
1.519665000,1
1.521252250,0
1.521790750,1
1.523403250,0
1.523964250,1
1.525552750,0
1.526090750,1
1.527703500,0
1.528264750,1
1.528778750,0
1.529339000,1
1.530928750,0
1.531489750,1
1.532003000,0
1.532564000,1
1.533078000,0
1.533615250,1
1.534153250,0
1.534714250,1
1.535228000,0
1.535789250,1
1.536303500,0
1.536864250,1
1.537378250,0
1.537938500,1
1.539529250,0
1.540089500,1
1.541678250,0
1.542238500,1
1.543829000,0
1.544388750,1
1.544903750,0
1.545463250,1
1.545979000,0
1.546513750,1
1.548129500,0
1.548663750,1
1.549204750,0
1.549738750,1
1.550279250,0
1.550813500,1
1.551354250,0
1.551888500,1
1.552429500,0
1.552963500,1
1.553505250,0
1.554038250,1
1.555655750,0
1.556212750,1
1.557805750,0
1.558362500,1
1.558880750,0
1.559413000,1
1.561031500,0
1.561587000,1
1.563203250,0
1.563713000,1
1.568925000,0
1.573311750,1
1.577730750,0
1.578237250,1
1.579880000,0
1.580387250,1
1.580955250,0
1.581462000,1
1.583105750,0
1.583612000,1
1.585256000,0
1.585761750,1
1.586331000,0
1.586836750,1
1.587406500,0
1.587911750,1
1.589557000,0
1.590061750,1
1.590632000,0
1.591136750,1
1.591707250,0
1.592211500,1
1.593858250,0
1.594361250,1
1.594933250,0
1.595436000,1
1.596008750,0
1.596510750,1
1.598159500,0
1.598661000,1
1.600311000,0
1.600810750,1
1.601409500,0
1.601885750,1
1.603560000,0
1.604035500,1
1.605711250,0
1.606185500,1
1.606787000,0
1.607260000,1
1.608962750,0
1.609409500,1
1.611114250,0
1.611558750,1
1.613291000,0
1.613683750,1
1.615441750,0
1.615833500,1
1.617616750,0
1.617983250,1
1.619769250,0
1.620133250,1
1.620868250,0
1.621208250,1
1.622994250,0
1.623358000,1
1.624094500,0
1.624432750,1
1.625195250,0
1.625508000,1
1.626270750,0
1.626583000,1
1.627398250,0
1.627658000,1
1.628447000,0
1.628732750,1
1.629566000,0
1.629807750,1
