channel,direction,start_time,packet_len,packet_content,start_byte,valid_start
mainboardBlue,fromACmainboard,0.003806,64,AA 31 40 00 4E 5A 1B 61 3E 00 00 00 00 4A 07 00 B7 88 34 B1 1E 00 10 16 FF 02 01 06 03 00 00 00 00 00 FD 07 01 06 00 91 01 64 00 64 00 00 64 00 F0 49 00 00 00 00 00 00 00 00 00 00 00 00 39 2E,0xAA,True
Channel 6,toACbusadapter_HAHB,0.04543675,16,AA C4 05 00 00 00 A5 5A 00 00 00 00 00 3B FD 55,0xAA,True
Channel 7,fromACbusadapter_HAHB,0.0655445,32,AA C4 00 00 05 00 05 00 02 30 0E 00 00 00 00 00 84 80 58 BC D6 32 4C 00 00 00 00 00 00 00 86 55,0xAA,True
bidirectionalExtensionBoard,toACdisplay,0.0756985,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 01 42 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 D4 6A 00 82,0xAA,True
mainboardGrey,toACmainboard,0.11017675,36,AA 20 24 03 4E 66 00 00 00 40 00 00 00 00 00 00 90 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E1 56,0xAA,True
mainboardBlue,fromACmainboard,0.16785375,29,AA 20 1D 03 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 5F 61,0xAA,True
mainboardGrey,toACmainboard,0.2300535,10,AA 30 0A 01 FF 03 00 4E D6 9F,0xAA,True
wifiOrange,fromACdisplay,0.251974,44,AA 2B AC 00 00 00 00 00 02 04 A2 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EB 6D 29,0xAA,True
mainboardBlue,fromACmainboard,0.26114175,64,AA 30 40 60 09 40 06 5E 01 08 02 19 32 5A 00 02 AF 03 00 00 00 00 02 00 00 00 00 01 00 00 00 00 00 00 08 61 3E 72 B3 B3 00 01 11 D3 00 0F E6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 51 72,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,0.273571,38,55 BC 22 AC 00 00 00 00 00 03 03 C1 21 01 42 00 00 00 00 02 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 04 00 EF,0x55,True
Channel 6,toACbusadapter_HAHB,0.34547425,16,AA C0 05 00 00 00 00 00 00 00 00 00 00 3F FC 55,0xAA,True
mainboardGrey,toACmainboard,0.3603085,36,AA 20 24 03 4E 66 00 00 00 40 00 00 00 00 00 00 90 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E1 56,0xAA,True
Channel 7,fromACbusadapter_HAHB,0.3656935,32,AA C0 00 00 05 00 10 30 84 80 58 58 47 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 B3 55,0xAA,True
mainboardBlue,fromACmainboard,0.4188025,29,AA 20 1D 03 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 5F 61,0xAA,True
mainboardGrey,toACmainboard,0.489928,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,0.54313025,64,AA 31 40 00 4E 5A 1B 61 3E 00 00 00 00 4A 07 00 B7 88 34 B1 1E 00 10 16 FF 02 01 06 03 00 00 00 00 00 FD 07 01 06 00 91 01 64 00 64 00 00 64 00 F0 49 00 00 00 00 00 00 00 00 00 00 00 00 39 2E,0xAA,True
Channel 6,toACbusadapter_HAHB,0.64554275,16,AA C4 05 00 00 00 A5 5A 00 00 00 00 00 3B FD 55,0xAA,True
mainboardGrey,toACmainboard,0.65016125,36,AA 20 24 03 4E 66 00 00 00 40 00 00 00 00 00 00 90 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E1 56,0xAA,True
Channel 7,fromACbusadapter_HAHB,0.66564,32,AA C4 00 00 05 00 05 00 02 30 0E 00 00 00 00 00 84 80 58 BC D6 32 4C 00 00 00 00 00 00 00 86 55,0xAA,True
mainboardBlue,fromACmainboard,0.7079215,29,AA 20 1D 03 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 5F 61,0xAA,True
mainboardGrey,toACmainboard,0.7697375,10,AA 30 0A 01 FF 03 00 4E D6 9F,0xAA,True
mainboardBlue,fromACmainboard,0.80069125,64,AA 30 40 60 09 72 06 5E 01 08 02 19 32 5A 00 02 AF 03 00 00 00 00 02 00 00 00 00 01 00 00 00 00 00 00 08 61 3E 72 B3 B3 00 01 11 D3 00 0F E6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 8B 06,0xAA,True
mainboardGrey,toACmainboard,0.9002315,36,AA 20 24 03 4E 66 00 00 00 40 00 00 00 00 00 00 90 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E1 56,0xAA,True
Channel 6,toACbusadapter_HAHB,0.9457155,32,AA D0 20 01 00 84 80 58 00 00 00 00 00 00 00 06 18 00 60 31 00 00 00 00 00 00 00 00 00 24 E0 55,0xAA,True
mainboardBlue,fromACmainboard,0.95866525,29,AA 20 1D 03 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 5F 61,0xAA,True
mainboardGrey,toACmainboard,1.0198905,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,1.0730955,64,AA 31 40 00 4E 5A 1B 61 3E 00 00 00 00 4A 07 00 B7 88 34 B1 1E 00 10 16 FF 02 01 06 03 00 00 00 00 00 FD 07 01 06 00 91 01 64 00 64 00 00 64 00 F0 49 00 00 00 00 00 00 00 00 00 00 00 00 39 2E,0xAA,True
bidirectionalExtensionBoard,toACdisplay,1.17490775,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 01 43 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 89 51 E1 00 05,0xAA,True
mainboardGrey,toACmainboard,1.18016075,36,AA 20 24 03 4E 66 00 00 00 40 00 00 00 00 00 00 90 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E1 56,0xAA,True
mainboardBlue,fromACmainboard,1.23784725,29,AA 20 1D 03 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 5F 61,0xAA,True
Channel 6,toACbusadapter_HAHB,1.24583625,16,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02 55,0xAA,True
mainboardGrey,toACmainboard,1.299775,10,AA 30 0A 01 FF 03 00 4E D6 9F,0xAA,True
mainboardBlue,fromACmainboard,1.3310515,64,AA 30 40 60 09 72 06 2C 01 08 02 19 32 5A 00 02 AF 03 00 00 00 00 02 00 00 00 00 01 00 00 00 00 00 00 08 61 3E 72 B3 B3 00 01 11 D3 00 0F E6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BD 06,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,1.37382775,38,55 BC 22 AC 00 00 00 00 00 03 03 C1 21 01 03 00 00 00 00 00 08 61 3E 72 B3 B3 00 49 00 00 00 00 00 00 00 7E 00 EF,0x55,True
mainboardGrey,toACmainboard,1.43043175,36,AA 20 24 03 4E 66 00 00 00 40 00 00 00 00 00 00 90 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E1 56,0xAA,True
MideaIR,toACdisplay,1.476991,6,B2 4D BF 40 E4 1B,0xB2,True
mainboardBlue,fromACmainboard,1.487995,29,AA 20 1D 03 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 5F 61,0xAA,True
Channel 6,toACbusadapter_HAHB,1.54596725,32,AA D0 20 01 00 84 80 58 00 00 00 00 00 00 00 06 18 00 60 31 00 00 00 00 00 00 00 00 00 24 E0 55,0xAA,True
mainboardGrey,toACmainboard,1.550201,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,1.604459,64,AA 31 40 00 4E 5A 1B 61 3E 00 00 00 00 4A 07 00 B7 88 34 B1 1E 00 10 16 FF 02 01 06 03 00 00 00 00 00 FD 07 01 06 00 91 01 64 00 64 00 00 64 00 F0 49 00 00 00 00 00 00 00 00 00 00 00 00 39 2E,0xAA,True
