Time [s],Channel 6,Channel 7
0.000000000,1,1
0.107227750,0,1
0.107248500,1,1
0.107269250,0,1
0.107290250,1,1
0.107352750,0,1
0.107373500,1,1
0.107436000,0,1
0.107456750,1,1
0.107477500,0,1
0.107498500,1,1
0.107561250,0,1
0.107581750,1,1
0.107644500,0,1
0.107665250,1,1
0.107727750,0,1
0.107748500,1,1
0.107853000,0,1
0.107873500,1,1
0.107894250,0,1
0.107915250,1,1
0.107936250,0,1
0.107957000,1,1
0.107977750,0,1
0.107998750,1,1
0.108019500,0,1
0.108040250,1,1
0.108061000,0,1
0.108082000,1,1
0.108102750,0,1
0.108123750,1,1
0.108186250,0,1
0.108207000,1,1
0.108227750,0,1
0.108248750,1,1
0.108269500,0,1
0.108290500,1,1
0.108311000,0,1
0.108332000,1,1
0.108352750,0,1
0.108373750,1,1
0.108394500,0,1
0.108415500,1,1
0.108436250,0,1
0.108457000,1,1
0.108477750,0,1
0.108498750,1,1
0.108519500,0,1
0.108540500,1,1
0.108561250,0,1
0.108582250,1,1
0.108602750,0,1
0.108623750,1,1
0.108644500,0,1
0.108665500,1,1
0.108686250,0,1
0.108707250,1,1
0.108769750,0,1
0.108790500,1,1
0.108811250,0,1
0.108832250,1,1
0.108853000,0,1
0.108873750,1,1
0.108894500,0,1
0.108915500,1,1
0.108936250,0,1
0.108957250,1,1
0.108978000,0,1
0.108999000,1,1
0.109019750,0,1
0.109040500,1,1
0.109061250,0,1
0.109082250,1,1
0.109103000,0,1
0.109124000,1,1
0.109144750,0,1
0.109165500,1,1
0.109186250,0,1
0.109207250,1,1
0.109228000,0,1
0.109249000,1,1
0.109269750,0,1
0.109290750,1,1
0.109311250,0,1
0.109332250,1,1
0.109353000,0,1
0.109374000,1,1
0.109394750,0,1
0.109415750,1,1
0.109436500,0,1
0.109457250,1,1
0.109520000,0,1
0.109540750,1,1
0.109561250,0,1
0.109582500,1,1
0.109603250,0,1
0.109624000,1,1
0.109686500,0,1
0.109707500,1,1
0.109728000,0,1
0.109749250,1,1
0.109769750,0,1
0.109790750,1,1
0.109811500,0,1
0.109832500,1,1
0.109853250,0,1
0.109874250,1,1
0.109936750,0,1
0.109957500,1,1
0.109978000,0,1
0.109999250,1,1
0.110020000,0,1
0.110040750,1,1
0.110061500,0,1
0.110082500,1,1
0.110103250,0,1
0.110124250,1,1
0.110144750,0,1
0.110165750,1,1
0.110228500,0,1
0.110249250,1,1
0.110311750,0,1
0.110332500,1,1
0.110353250,0,1
0.110374250,1,1
0.110436750,0,1
0.110457500,1,1
0.110478250,0,1
0.110499250,1,1
0.110561750,0,1
0.110582500,1,1
0.110603250,0,1
0.110624250,1,1
0.110645000,0,1
0.110666000,1,1
0.110686500,0,1
0.110707750,1,1
0.110728250,0,1
0.110749250,1,1
0.110770000,0,1
0.110791000,1,1
0.110811750,0,1
0.110832750,1,1
0.110853250,0,1
0.110874250,1,1
0.110895000,0,1
0.110916000,1,1
0.110936750,0,1
0.110957750,1,1
0.110978500,0,1
0.110999500,1,1
0.111020000,0,1
0.111041000,1,1
0.111061750,0,1
0.111082750,1,1
0.111103500,0,1
0.111124500,1,1
0.111145000,0,1
0.111166000,1,1
0.111186750,0,1
0.111207750,1,1
0.111228500,0,1
0.111249500,1,1
0.111270000,0,1
0.111291000,1,1
0.111311750,0,1
0.111332750,1,1
0.111353500,0,1
0.111374500,1,1
