channel,direction,start_time,packet_len,packet_content,start_byte,valid_start
mainboardGrey,toACmainboard,0.00052225,4,00 3C 92 F5,0x00,False
bidirectionalExtensionBoard,unknown,0.00089375,22,5A 00 06 DE 03 3C 76 36 3C 37 00 00 00 00 00 00 00 00 00 1C 00 EF,0x5A,False
mainboardBlue,fromACmainboard,0.0251145,64,AA 30 40 DC 05 30 11 C8 00 FE 01 55 50 5A 00 06 A2 03 89 89 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 23 72 BC B3 00 01 0C 43 00 36 92 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 53 D2,0xAA,True
Channel 6,toACbusadapter_HAHB,0.10722775,32,AA D0 20 01 00 84 80 59 00 00 00 00 00 00 00 06 0B 00 97 27 00 00 00 00 00 00 00 00 00 E4 FF 55,0xAA,True
mainboardGrey,toACmainboard,0.12456825,36,AA 20 24 03 50 66 00 00 00 40 00 00 00 00 00 00 B0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B0 65,0xAA,True
bidirectionalExtensionBoard,toACdisplay,0.16049825,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 00 FF 01 48 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 91 0A D5 00 4C,0xAA,True
mainboardBlue,fromACmainboard,0.18200875,29,AA 20 1D 03 00 64 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 DC 80,0xAA,True
mainboardGrey,toACmainboard,0.2445665,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,0.29820775,64,AA 31 40 00 50 2D 1B 61 23 00 00 00 1B 35 07 00 B7 88 33 B1 1E 00 0F 17 FE 04 03 04 02 00 00 00 00 00 F9 0A 01 06 00 4A 05 64 00 64 00 48 64 00 F0 51 64 00 00 00 00 00 00 00 00 00 00 00 8D AB,0xAA,True
mainboardGrey,toACmainboard,0.4048905,36,AA 20 24 03 50 66 00 00 00 40 00 00 00 00 00 00 B0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B0 65,0xAA,True
Channel 6,toACbusadapter_HAHB,0.40722325,32,AA D0 20 01 00 84 80 59 00 00 00 00 00 00 00 06 0B 00 97 27 00 00 00 00 00 00 00 00 00 E4 FF 55,0xAA,True
mainboardBlue,fromACmainboard,0.46272275,29,AA 20 1D 03 00 64 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 DC 80,0xAA,True
mainboardGrey,toACmainboard,0.524242,10,AA 30 0A 01 FF 03 00 34 50 3F,0xAA,True
mainboardBlue,fromACmainboard,0.554352,64,AA 30 40 4C 04 30 11 C8 00 FE 01 55 50 5A 00 06 A0 03 89 88 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 23 72 BC B3 00 01 0C 43 00 36 92 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 06,0xAA,True
mainboardGrey,toACmainboard,0.6549595,36,AA 20 24 03 50 66 00 00 00 40 00 00 00 00 00 00 B0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B0 65,0xAA,True
Channel 6,toACbusadapter_HAHB,0.70734375,16,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01 55,0xAA,True
mainboardBlue,fromACmainboard,0.71276925,29,AA 20 1D 03 00 64 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 DC 80,0xAA,True
Channel 7,fromACbusadapter_HAHB,0.72737525,32,AA C0 00 00 00 00 10 30 84 80 59 46 80 00 2C 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 93 55,0xAA,True
mainboardGrey,toACmainboard,0.7747005,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,0.82898025,64,AA 31 40 00 50 2D 1B 61 23 00 00 00 1B 35 07 00 B7 88 33 B1 1E 00 0F 17 FE 04 03 04 02 00 00 00 00 00 F9 0A 01 06 00 4A 05 64 00 64 00 48 64 00 F0 51 64 00 00 00 00 00 00 00 00 00 00 00 8D AB,0xAA,True
mainboardGrey,toACmainboard,0.9347985,36,AA 20 24 03 50 66 00 00 00 40 00 00 00 00 00 00 B0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B0 65,0xAA,True
mainboardBlue,fromACmainboard,0.993075,29,AA 20 1D 03 00 64 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 DC 80,0xAA,True
Channel 6,toACbusadapter_HAHB,1.007433,16,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02 55,0xAA,True
Channel 7,fromACbusadapter_HAHB,1.0273635,32,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 59 BC D6 32 96 00 00 00 00 00 00 00 40 55,0xAA,True
mainboardGrey,toACmainboard,1.05441225,10,AA 30 0A 01 FF 03 00 34 50 3F,0xAA,True
mainboardBlue,fromACmainboard,1.08581425,64,AA 30 40 4C 04 30 11 C8 00 FE 01 55 50 5A 00 06 A0 03 89 88 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 23 72 BC B3 00 01 0C 43 00 36 92 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 06,0xAA,True
mainboardGrey,toACmainboard,1.184846,36,AA 20 24 03 50 66 00 00 00 40 00 00 00 00 00 00 B0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B0 65,0xAA,True
mainboardBlue,fromACmainboard,1.2435305,29,AA 20 1D 03 00 64 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 DC 80,0xAA,True
Channel 6,toACbusadapter_HAHB,1.307491,16,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01 55,0xAA,True
mainboardGrey,toACmainboard,1.314462,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
bidirectionalExtensionBoard,toACdisplay,1.3205145,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 00 FF 01 48 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 91 0A D5 00 4C,0xAA,True
Channel 7,fromACbusadapter_HAHB,1.3274795,32,AA C0 00 00 00 00 10 30 84 80 59 46 80 00 2C 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 93 55,0xAA,True
mainboardBlue,fromACmainboard,1.368216,64,AA 31 40 00 50 2D 1B 61 23 00 00 00 1B 35 07 00 B7 88 33 B1 1E 00 0F 17 FE 04 03 04 02 00 00 00 00 00 F9 0A 01 06 00 4A 05 64 00 64 00 48 64 00 F0 51 64 00 00 00 00 00 00 00 00 00 00 00 8D AB,0xAA,True
mainboardGrey,toACmainboard,1.474763,36,AA 20 24 03 50 66 00 00 00 40 00 00 00 00 00 00 B0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B0 65,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,1.5181175,44,55 BC 28 AC 00 00 00 00 00 03 03 C0 01 89 66 7F 7F 00 00 80 00 00 48 3C 0D 00 10 00 00 00 00 00 00 00 01 00 00 00 00 00 00 56 00 EF,0x55,True
mainboardBlue,fromACmainboard,1.5330845,29,AA 20 1D 03 00 64 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 DC 80,0xAA,True
mainboardGrey,toACmainboard,1.594418,10,AA 30 0A 01 FF 03 00 34 50 3F,0xAA,True
Channel 6,toACbusadapter_HAHB,1.60763225,32,AA D0 20 01 00 84 80 59 00 00 00 00 00 00 00 06 0B 00 97 27 00 00 00 00 00 00 00 00 00 E4 FF 55,0xAA,True
mainboardBlue,fromACmainboard,1.62573275,64,AA 30 40 4C 04 30 11 C8 00 FE 01 55 50 5A 00 06 A0 03 89 89 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 23 72 BC B3 00 01 0C 43 00 36 88 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 CD F5,0xAA,True
mainboardGrey,toACmainboard,1.724894,36,AA 20 24 03 50 66 00 00 00 40 00 00 00 00 00 00 B0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B0 65,0xAA,True
bidirectionalExtensionBoard,toACdisplay,1.7705475,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 00 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 92 CB 1D 00 8B,0xAA,True
mainboardBlue,fromACmainboard,1.78321175,29,AA 20 1D 03 00 64 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 DC 80,0xAA,True
mainboardGrey,toACmainboard,1.84471925,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,1.898653,64,AA 31 40 00 50 2D 1B 61 23 00 00 00 1B 35 07 00 B7 88 33 B1 1E 00 0F 17 FE 04 03 04 02 00 00 00 00 00 F9 0A 01 06 00 4A 05 64 00 64 00 48 64 00 F0 51 64 00 00 00 00 00 00 00 00 00 00 00 8D AB,0xAA,True
Channel 6,toACbusadapter_HAHB,1.90756525,16,AA C0 09 00 00 00 00 00 00 00 00 00 00 3F F8 55,0xAA,True
bidirectionalExtensionBoard,fromACdisplay,1.968475,44,55 BC 28 AC 00 00 00 00 00 03 03 C0 01 89 66 7F 7F 00 00 80 00 00 48 3C 0D 00 10 00 00 00 00 00 00 00 01 00 00 00 00 00 00 56 00 EF,0x55,True
mainboardGrey,toACmainboard,2.005164,36,AA 20 24 03 50 66 00 00 00 40 00 00 00 00 00 00 B0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B0 65,0xAA,True
mainboardBlue,fromACmainboard,2.06375275,29,AA 20 1D 03 00 64 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 DC 80,0xAA,True
mainboardGrey,toACmainboard,2.13478575,10,AA 30 0A 01 FF 03 00 34 50 3F,0xAA,True
mainboardBlue,fromACmainboard,2.16527775,64,AA 30 40 4C 04 30 11 C8 00 FE 01 55 50 5A 00 06 A0 03 89 89 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 61 23 72 BC B3 00 01 0C 43 00 36 88 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 CD F5,0xAA,True
